--To get list of all installed packages run :

sudo aptitude -F '%p' search '~i!~M'	-< gives without description
i  libstdc++6 - GNU Standard C++ Library v3
i  libstdc++6:i386 - GNU Standard C++ Library v3
i  libstemmer0d - Snowball stemming algorithms for use in Information Retrieval
i  libsystemd0 - systemd utility library
i  libtasn1-6 - Manage ASN.1 structures (runtime)
i  libtext-charwidth-perl - get display widths of characters on the terminal
i  libtext-iconv-perl - module to convert between character sets in Perl
i  libtext-wrapi18n-perl - internationalized substitute of Text::Wrap
i  libtinfo5 - shared low-level terminfo library (legacy version)
i  libtinfo6 - shared low-level terminfo library for terminal handling
i  libudev1 - libudev shared library
i  libunistring2 - Unicode string library for C
i  libuuid1 - Universally Unique ID library
i  libvdpau-va-gl1 - VDPAU driver with OpenGL/VAAPI backend
i  libwind0-heimdal - Heimdal Kerberos - stringprep implementation
i  libxml2 - GNOME XML library
i  libxml2-utils - XML utilities
i  libxtables12 - netfilter xtables library
i  libyaml-0-2 - Fast YAML 1.1 parser and emitter library
i  libzstd1 - fast lossless compression algorithm
i  linux-generic - Complete Generic Linux kernel and headers
i  linux-system76 - System76 recommended Linux kernel
i  lm-sensors - utilities to read temperature/voltage/fan sensors
i  locales - GNU C Library: National Language (locale) data [support]
i  login - system login tools
i  logrotate - Log rotation utility
i  logsave - save the output of a command in a log file
i  lolcat - colorful `cat`
i  lsb-base - Linux Standard Base init script functionality
i  lsb-release - Linux Standard Base version reporting utility
i  lvm2 - Linux Logical Volume Manager
i  macchanger - utility for manipulating the MAC address of network interfaces
i  mawk - Pattern scanning and text processing language
i  mesa-va-drivers - Mesa VA-API video acceleration drivers
i  mesa-vulkan-drivers - Mesa Vulkan graphics drivers
i  mime-support - MIME files 'mime.types' & 'mailcap', and support programs
i  mlocate - quickly find files on the filesystem based on their name
i  mount - tools for mounting and manipulating filesystems
i  mplayer - movie player for Unix-like systems
i  mythes-ar - Arabic Thesaurus for LibreOffice
i  mythes-de - German Thesaurus for OpenOffice.org/LibreOffice
i  mythes-de-ch - German Thesaurus for OpenOffice.org/LibreOffice (Swiss Version)
i  mythes-en-au - Australian English Thesaurus for OpenOffice.org
i  mythes-en-us - English (USA) Thesaurus for LibreOffice
i  mythes-es - Spanish Thesaurus for LibreOffice
i  mythes-fr - French Thesaurus for LibreOffice
i  mythes-it - Italian Thesaurus for LibreOffice
i  mythes-pt-pt - Portuguese Thesaurus for LibreOffice
i  mythes-ru - Russian Thesaurus for LibreOffice
i  nautilus - file manager and graphical shell for GNOME
i  nautilus-gtkhash - nautilus extension for computing checksums and more using gtkhash
i  nautilus-sendto - easily send files via email from within Nautilus
i  ncurses-base - basic terminal type definitions
i  ncurses-bin - terminal-related programs and man pages
i  neofetch - Shows Linux System Information with Distribution Logo
i  net-tools - NET-3 networking toolkit
i  netbase - Basic TCP/IP networking system
i  netcat-openbsd - TCP/IP swiss army knife
i  netplan.io - YAML network configuration abstraction for various backends
i  network-manager - network management framework (daemon and userspace tools)
i  network-manager-config-connectivity-pop - NetworkManager configuration to enable connectivity checking
i  network-manager-pptp-gnome - network management framework (PPTP plugin GNOME GUI)
i  networkd-dispatcher - Dispatcher service for systemd-networkd connection status changes
i  nmap - The Network Mapper
i  npm - package manager for Node.js
i  ntfs-3g - read/write NTFS driver for FUSE
i  numix-icon-theme - Numix icon theme
i  numix-icon-theme-circle - Numix Circle icons
i  numix-icon-theme-square - Numix Square icons
i  nvidia-driver-435 - Transitional package for nvidia-driver-440
i  openjfx - JavaFX/OpenJFX - Rich client application platform for Java
i  openjfx-source - JavaFX/OpenJFX - Rich client application platform for Java (sources)
i  openprinting-ppds - OpenPrinting printer support - PostScript PPD files
i  openssl - Secure Sockets Layer toolkit - cryptographic utility
i  orca - Scriptable screen reader
i  packagekit - Provides a package management service
i  papirus-folders - This package allows you to change the color of folders
i  passwd - change and administer password and group data
